X,Y,Z,bins,pu func,st_dt,end_dt
USSW2 Curncy,,,,quick_plot,,
USSW2 Curncy,USOSFR2 Curncy,,,two_plot,,
USSW5 Curncy,,,,quick_plot,,
USSW5 Curncy,USOSFR5 Curncy,,,two_plot,,
USSW7 Curncy,,,,quick_plot,,
USSW7 Curncy,USOSFR7 Curncy,,,two_plot,,
USSW10 Curncy,,,,quick_plot,,
USSW10 Curncy,USOSFR10 Curncy,,,two_plot,,
USSW2 Curncy,USSP2 Curncy,,,scatter,,
USSW5 Curncy,USSP5 Curncy,,,scatter,,
USSW7 Curncy,USSP7 Curncy,,,scatter,,
USSW10 Curncy,USSP10 Curncy,,"[0.0,1.0,2.0,3.0,4.0]",scatter,,
USOSFR10 Curncy,USSFCT10 Curncy,,"[0.0,1.0,2.0,3.0,4.0]",scatter,,
USSW30 Curncy,USSP30 Curncy,,,scatter,,
USSN0110 Curncy,USSW210 Curncy,,,scatter,,
USSN0130 Curncy,USSW1030 Curncy,,,scatter,,
USSN0130 Curncy,USSW530 Curncy,,,scatter,,
USOSFR5 Curncy,UF050710 Curncy,,,scatter,,
FEDL01 Index,USSW210 Curncy,,,scatter,,
FEDL01 Index,USSW210 Curncy,,,two_plot,,
USSW2 Curncy,USSW4 Curncy,USSW7 Curncy,,fly_plot,,
USSW3 Curncy,USSW4 Curncy,USSW5 Curncy,,fly_plot,,
USOSFR3 Curncy,USOSFR4 Curncy,USOSFR5 Curncy,,fly_plot,,
USSW2 Curncy,USSW3 Curncy,USSW5 Curncy,,fly_plot,,
USSW5 Curncy,USSW7 Curncy,USSW10 Curncy,,fly_plot,,
USSW4 Curncy,USSW5 Curncy,USSW6 Curncy,,fly_plot,,
S0490FS 3Y1Y BLC Curncy,S0490FS 4Y1Y BLC Curncy,S0490FS 5Y1Y BLC Curncy,,fly_plot,,
USOSFR2 Curncy,,,,seasonal_plot,,
